GeoName,Description,2012,2013,2014,2015,2016
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Truck transportation,2739454,2847088,2926951,3168699,3241436
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Transit and ground passenger transportation,3387988,3382184,3614911,3667477,3727225
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Pipeline transportation,(D),40902,(D),(D),(D)
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Scenic and sightseeing transportation,(D),119729,131431,132448,"119,577 E"
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Support activities for transportation,"3,044,755 E",(D),(D),(D),(D)
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Couriers and messengers,(D),2257991,(D),2414037,(D)
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Warehousing and storage,"1,631,049 E",1586130,"1,549,679 E",1746859,"1,915,354 E"
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",      Information,35655935,36060845,39260247,40735891,41655500
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Publishing industries (except Internet),"9,151,428 E",(D),(D),(D),"9,259,297 E"
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Motion picture and sound recording industries,"6,379,879 E",6464137,7285715,(D),6997223
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",        Broadcasting (except Internet),"6,081,112 E",6005604,"5,534,579 E","5,528,173 E","5,088,203 E"
